Business Name,UBI#,Business Type,Principal Office Address,Registered Agent Name,Status
ASIAN OASIS MASSAGE LLC,603 432 272,WA LIMITED LIABILITY COMPANY,"115 176TH ST S, SPANAWAY, WA, 98387-4630, UNITED STATES",PING HONG LIANG,Active
ASIAN OASIS MASSAGE LLC,603 312 712,WA LIMITED LIABILITY COMPANY,,CONNIE MCHUGH,Administratively Dissolved
ASIAN TOUCH MASSAGE LLC,603 381 721,WA LIMITED LIABILITY COMPANY,"910 NE MINNEHAHA ST STE 3, VANCOUVER, WA, 98665-8749, UNITED STATES",ASIAN TOUCH MASSAGE LLC,Active
ASPEN ACRES MASSAGE LLC.,604 022 741,WA LIMITED LIABILITY COMPANY,"4141 PARKE CREEK RD, ELLENSBURG, WA, 98926, UNITED STATES",LYNN GOODWIN,Administratively Dissolved
ASSESSING THE BODY MASSAGE LLC,603 392 116,WA LIMITED LIABILITY COMPANY,"13613 MERIDIAN AVE E #260, PUYALLUP, WA, 98373, UNITED STATES",CYNTHIA BROWN,Administratively Dissolved
ASSOCIATED MASSAGE PRACTITIONERS LLC,603 269 263,WA LIMITED LIABILITY COMPANY,"6 FIRST ST #5, WENATCHEE, WA, 98801, UNITED STATES",JENNIFER STENTZ,Voluntarily Dissolved
ASSORTED FINE OIL MASSAGE LLC,603 582 613,WA LIMITED LIABILITY COMPANY,"6704 N NEVADA ST STE 6, SPOKANE, WA, 99208-6284, UNITED STATES",GUOJIANG ZHOU,Administratively Dissolved
AT VANCOUVER MASSAGE LLC,604 112 854,WA LIMITED LIABILITY COMPANY,"204 E 16TH ST, VANCOUVER, WA, 98663-3409, UNITED STATES",JEAN KONCOS,Active
ATCARING THERAPEUTIC MASSAGE LLC,604 182 190,WA LIMITED LIABILITY COMPANY,"1715 S 324TH PL STE 400, FEDERAL WAY, WA, 98003-8545, UNITED STATES",ANAHI MALDONADO,Active
ATHENA MASSAGE THERAPY CORP.,602 619 402,WA PROFIT CORPORATION,"1036 SHADBERRY CT SE, OLYMPIA, WA, 98513, UNITED STATES",ATHENA ORTEGA,Administratively Dissolved
ATOM MASSAGE LLC,604 368 442,WA LIMITED LIABILITY COMPANY,"7316 NE 16TH AVE APT 6, VANCOUVER, WA, 98665-0435, UNITED STATES",HAI WANG,Active
"ATTAIN MASSAGE, PLLC",604 327 506,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"223 N STATE ST, APT 5, BELLINGHAM, WA, 98225-5369, UNITED STATES",SEAN RAYMOND,Active
"ATTUNE THERAPEUTIC MASSAGE CLINIC, PLLC",601 857 742,WA PROFESSIONAL LIMITED LIABILITY COMPANY,,ALBERT COKE ROTH III,Inactive
"ATTUNEMENT MASSAGE, LLC.",602 799 897,WA LIMITED LIABILITY COMPANY,"13624 254TH AVE SE, MONROE, WA, 98272, UNITED STATES",HEIDI MOORE,Administratively Dissolved
AUBURN FAMILY MASSAGE INC,603 123 836,WA PROFIT CORPORATION,,CONTRACTORS ACCOUNTING & BOOKKEEPING INC,Administratively Dissolved
AUBURN FAMILY MASSAGE INC.,602 383 947,WA PROFIT CORPORATION,"2716 H ST SE, AUBURN, WA, 98002, UNITED STATES",CONTRACTORS BOOKEEPING & ACCOUNTING CO,Inactive
AUBURN MASSAGE LLC,604 141 912,WA LIMITED LIABILITY COMPANY,"3312 AUBURN WAY S STE G, AUBURN, WA, 98092, UNITED STATES",HYDE WONG,Administratively Dissolved
AUZMOKI MASSAGE LLC,603 124 210,WA LIMITED LIABILITY COMPANY,"12737 BEL-RED RD STE 210, BELLEVUE, WA, 98005, UNITED STATES",JANENE E HAMPTON,Administratively Dissolved
"AVALON MASSAGE & DAY SPA, LTD.",602 686 211,WA PROFIT CORPORATION,"109 E BELL ST #B, PO BOX 1029, SEQUIM, WA, 98382, UNITED STATES",J KEVIN WIEGEL,Inactive
"AVALON MASSAGE AND BODYWORK, LLC",602 669 036,WA LIMITED LIABILITY COMPANY,"4517 FREMONT AVE N, UNIT B, SEATTLE, WA, 98103, UNITED STATES",JAMIE DRAIN,Inactive
AVANI MASSAGE & SKIN CARE LLC,603 158 157,WA LIMITED LIABILITY COMPANY,"15225 NE 20TH ST, BELLEVUE, WA, 98007, UNITED STATES",CHUDAPORN ZWALLER,Administratively Dissolved
AVICENNA MASSAGE LLC,603 461 714,WA LIMITED LIABILITY COMPANY,"611 FOURTH AVE #100, KIRKLAND, WA, 98033, UNITED STATES",EVA KOWALCZYKOVA,Active
"AVILA THERAPEUTIC MASSAGE CLINIC, PC",604 041 027,WA PROFESSIONAL SERVICE CORPORATION,"920 W CANAL DR STE A, KENNEWICK, WA, 99336-3561, UNITED STATES",THERESA MEYERS,Active
AWAKEN MASSAGE AND BODYWORK LLC,604 517 685,WA LIMITED LIABILITY COMPANY,"610 5TH ST, MUKILTEO, WA, 98275-1504, UNITED STATES",ELISABETH PARZYK,Active
AWAKENING THERAPUTIC MASSAGE LLC,602 990 583,WA LIMITED LIABILITY COMPANY,"821 CLEVELAND AVE, MOUNT VERNON, WA, 98273, UNITED STATES",JULIE BELDIN LMT,Active
AYUN HEALING MASSAGE L.L.C.,603 498 656,WA LIMITED LIABILITY COMPANY,"2120 PACIFIC AVE SE, OLYMPIA, WA, 98506-4753, UNITED STATES",BROOKE BELL,Delinquent
"AYURVEDIC HEALTH AND MASSAGE CENTER, LLC",602 918 568,WA LIMITED LIABILITY COMPANY,"4516 UNION BAY PL NE, SEATTLE, WA, 98105, UNITED STATES",ANDREW BWARREN,Administratively Dissolved
AZEN MASSAGE SPA LLC,604 117 930,WA LIMITED LIABILITY COMPANY,"4716 EVERGREEN WAY # B, EVERETT, WA, 98203-2831, UNITED STATES",RUSSELL T REED,Active
B-ZEN MASSAGE PLLC,604 502 357,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"4925 83RD AVE SE, SNOHOMISH, WA, 98290-5167, UNITED STATES","ANDERSON LAW GROUP, PLLC",Active
BACK IN BALANCE MASSAGE LLC,602 391 147,WA LIMITED LIABILITY COMPANY,"607 S 188TH ST, SEATTLE, WA, 98148, UNITED STATES",SHANNAN L FOLINO,Administratively Dissolved
BACK IN MOTION MASSAGE PLLC,603 532 969,WA PROFESSIONAL LIMITED LIABILITY COMPANY,,DONALD M SORAN,Administratively Dissolved
"BACK IN MOTION THERAPEUTIC MASSAGE AND BODYWORK, LLC",603 030 896,WA LIMITED LIABILITY COMPANY,"2607 S SE BLVD STE B 150, SPOKANE, WA, 99223, UNITED STATES",KATHRYN CHARLSON,Administratively Dissolved
"BACK ON TRACK CHIROPRACTIC AND MASSAGE, LLC",602 165 819,WA LIMITED LIABILITY COMPANY,"8621 MARTIN WAY E STE 102, LACEY, WA, 98516-5855, UNITED STATES",SCOTT W TROMBONI D C,Active
BACK TO FORM STRUCTURAL STRENGTH AND MASSAGE LLC,603 534 147,WA LIMITED LIABILITY COMPANY,"509 OLIVE WAY STE 855, SEATTLE, WA, 98101-1769, UNITED STATES",KEVIN VANDENBOSCH,Active
"BACK-TO-BACK MASSAGE THERAPY, INC.",602 551 254,WA PROFIT CORPORATION,"1331 N 180TH ST, SHORELINE, WA, 98133-4502, UNITED STATES",PAMELA J CHAMPAGNE LESPERANCE,Active
"BALANCE BODYWORKS MASSAGE & PAIN THERAPY, LLC",603 404 448,WA LIMITED LIABILITY COMPANY,"6 NW COVELAND STREET, COUPEVILLE, WA, 98239, UNITED STATES",SUSANN MARTIN,Active
"BALANCE DAY SPA AND MASSAGE CLINIC, LLC",603 075 285,WA LIMITED LIABILITY COMPANY,"117 N 8TH STREET, SHELTON, WA, 98584, UNITED STATES",ASHLEY  MABRY,Administratively Dissolved
"BALANCE IN MOTION ANIMAL MASSAGE THERAPY, LLC",604 349 709,WA LIMITED LIABILITY COMPANY,"39749 SE WALNUT ST, SNOQUALMIE, WA, 98065, UNITED STATES",HEATHER MANUEL,Active
BALANCE MASSAGE & BODYWORK LLC,602 853 852,WA LIMITED LIABILITY COMPANY,"311 1ST AVE S, SEATTLE, WA, 98109, UNITED STATES",JENNIFER JONES,Inactive
BALANCE MASSAGE AND BODYWORK LLC,603 528 268,WA LIMITED LIABILITY COMPANY,"817 W CRESTVIEW RD, SPOKANE, WA, 99224-9610, UNITED STATES",CHRISTOPHER DANIEL STATZ,Active
"BALANCE MASSAGE CENTER, P.S., INC.",602 150 576,WA PROFESSIONAL SERVICE CORPORATION,,EUGENE L HALL,Inactive
"BALANCE MASSAGE THERAPY, LLC",603 078 863,WA LIMITED LIABILITY COMPANY,"1999 37TH STREET, WASHOUGAL, WA, 98671, UNITED STATES",JANINE TROYER,Administratively Dissolved
BALANCE THERAPEUTIC MASSAGE AND HAIR INC.,602 308 142,WA PROFIT CORPORATION,,DORIS PARKHOUSE,Inactive
BALANCED BODY MASSAGE AND PILATES INC.,603 394 457,WA PROFIT CORPORATION,"17901 BOTHELL EVERETT HWY, SUITE F105, BOTHELL, WA, 98012, UNITED STATES",KATIA LINES,Active
BALANCED BODY MASSAGE THERAPY LLC,602 801 667,WA LIMITED LIABILITY COMPANY,"18927 33RD AVE W, STE B, LYNNWOOD, WA, 98036-4726, UNITED STATES",PENNY LEASE,Active
"BALANCED BODY MASSAGE, LLC",603 011 416,WA LIMITED LIABILITY COMPANY,"10909 PORTLAND AVE E, SUITE F, TACOMA, WA, 98445, UNITED STATES",STEPHANIE MARCELLE,Administratively Dissolved
BALANCED TOUCH MASSAGE & FITNESS LLC,603 597 494,WA LIMITED LIABILITY COMPANY,"215 N REED STREET, SEDRO WOOLLEY, WA, 98284, UNITED STATES",MICHAEL SMITH,Administratively Dissolved
"BALANCEDLIFE MASSAGE THERAPY, LLC",603 281 371,,,,
"BALANCEDLIFE PROPERTY INVESTMENT, LLC",603 281 371,WA LIMITED LIABILITY COMPANY,"4923 69TH AVE NW, OLYMPIA, WA, 98502-9603, UNITED STATES",ERIN CHASE,Active
"BALANCING TOUCH THERAPEUTIC MASSAGE, LLC",602 570 213,WA LIMITED LIABILITY COMPANY,"6716 EAST SIDE DRIVE, BROWNS POINT, WA, 98422, UNITED STATES",MERRY MCNUTT,Inactive
BALLARD HOLISTIC MASSAGE LLC,603 339 484,WA LIMITED LIABILITY COMPANY,"1407 NW 70TH ST, SEATTLE, WA, 98117, UNITED STATES",HANNAH HUNTER,Administratively Dissolved
BALLARD WELLNESS MASSAGE THERAPY PLLC,604 374 723,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"6204 8TH AVE NW, SEATTLE, WA, 98107-2270, UNITED STATES",DAVID NAKATA,Active
BARE KNUCKLE MASSAGE LLC,604 238 197,WA LIMITED LIABILITY COMPANY,"4480 VILLAGE DR SE, OLYMPIA, WA, 98501-4785, UNITED STATES",CATHERINE GOERIG,Voluntarily Dissolved
BASELINE MASSAGE THERAPY INC,602 224 705,WA PROFIT CORPORATION,,,Inactive
BAY MASSAGE & SKIN CARE PLLC,602 928 329,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"17377 SCANDIA CT NW, POULSBO, WA, 98370-7089, UNITED STATES",BAY MASSAGE & SKIN CARE C/O DARLENE TESTA,Active
"BAY MASSAGE, PLLC",602 915 327,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"4569 LYNWOOD CENTER RD NE #12, BAINBRIDGE ISLAND, WA, 98110, UNITED STATES",KRISTINESTAPLETON,Administratively Dissolved
"BE WELL MASSAGE PAIN AND TREATMENT CENTER, LLC",603 253 470,WA LIMITED LIABILITY COMPANY,"1920 100TH ST SE SUITE A-3, EVERETT, WA, 98208, UNITED STATES",MICHELLE LIND,Administratively Dissolved
"BE WELL MASSAGE THERAPY, LLC",604 143 253,WA LIMITED LIABILITY COMPANY,"8229 44TH AVE W STE F, MUKILTEO, WA, 98275-2849, UNITED STATES",LISA QUINTO,Voluntarily Dissolved
"BEACH THYME MASSAGE, LLC",603 309 029,WA LIMITED LIABILITY COMPANY,"261 S RAZOR CLAM DR SW, OCEAN SHORES, WA, 98569, UNITED STATES",KARLA JOHNSON,Administratively Dissolved
"BEACH TOWN MASSAGE, LLC",602 740 915,WA LIMITED LIABILITY COMPANY,"34 CAMPFIRE LN, PO BOX 43, PACIFIC BEACH, WA, 98571, UNITED STATES",DAWN WOOD,Administratively Dissolved
BEAR CREEK MASSAGE THERAPY P.L.L.C.,604 083 611,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"222 N WENATCHEE AVE OFC B, WENATCHEE, WA, 98801-2010, UNITED STATES",CORISSA DENHAM LMT,Administratively Dissolved
"BEATRIZ MASSAGE AND WELLNESS, INC.",602 697 217,WA PROFIT CORPORATION,,CLARESE  ZAHL,Administratively Dissolved
"BEAUTIFUL AWAKENINGS MASSAGE, L.L.C.",602 872 951,WA LIMITED LIABILITY COMPANY,"351 STRANDER BLVD SOUTHCENTER  # 8, TUKWILA, WA, 98188, UNITED STATES",JAMILA APRIL JOHNSON,Active
BEAUTIFUL PEOPLE LLC MASSAGE*INJURY*SPA,604 476 291,WA LIMITED LIABILITY COMPANY,"401 S PARK ST, CHEWELAH, WA, 99109-9337, UNITED STATES",RHEVA LARSON,Active
BEAUTY MASSAGE LLC,603 249 510,WA LIMITED LIABILITY COMPANY,"12725 SE 312TH ST, K205, AUBURN, WA, 98092-3729, UNITED STATES",OLHA ZHUKOVSKIY,Active
BEIJING FOOT MASSAGE LLC,603 269 960,WA LIMITED LIABILITY COMPANY,"200 CENTRAL WAY STE B, KIRKLAND, WA, 98033-6182, UNITED STATES",ERIC LONG CPA PROFESSIONAL SERVICE CORP,Active
BEIJING HERBAL FOOT MASSAGE LLC,603 255 605,WA LIMITED LIABILITY COMPANY,,WANG CHAO,Administratively Dissolved
BEIJING HERBAL FOOT MASSAGE LLC,602 914 051,WA LIMITED LIABILITY COMPANY,"316 PARKPLACE CENTER, KIRKLAND, WA, 98033, UNITED STATES",WANG CHAO,Inactive
BEIJING MASSAGE SPA LLC,604 149 118,WA LIMITED LIABILITY COMPANY,"9606 16TH AVE SW, SEATTLE, WA, 98106, UNITED STATES",QINGSU LIU,Active
"BELL’S MASSAGE FOR HEALTH, PLLC",604 424 137,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"4011 112TH ST SE, EVERETT, WA, 98208-7769, UNITED STATES",MEGAN COOPER,Active
"BELLA NONNA MASSAGE,  PLLC",604 454 039,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"4026 PACIFIC AVE, TACOMA, WA, 98418-7830, UNITED STATES",ANGELAMARIA MARTONE,Active
"BELLA SOUL MASSAGE THERAPY AND SPA, INC.",602 608 065,WA PROFIT CORPORATION,"325 E GEORGE HOPER RD #106, BURLINGTON, WA, 98233, UNITED STATES",INGRID THORNTON,Active
BELLA TERRA MASSAGE & WELLNESS CENTER LLC,602 497 503,WA LIMITED LIABILITY COMPANY,"1503 W STEWART, PUYALLUP, WA, 98371-5149, UNITED STATES",CHRISTINA ANTONGIOVANNI,Active
"BELLAMIA MASSAGE, LLC",602 919 718,WA LIMITED LIABILITY COMPANY,"313 E. WOODIN AVE, CHELAN, WA, 98816, UNITED STATES",KAYLA MONTELEONE,Active
"BELLEVUE MARVELOUS MASSAGE THERAPY, P.L.L.C.",602 622 688,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"145 NW 85TH ST # 102, SEATTLE, WA, 98117, UNITED STATES",LILLI EWING,Inactive
"BELLEVUE MARVELOUS MASSAGE, P.L.L.C.",602 622 715,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"145 NW 85TH ST # 102, SEATTLE, WA, 98117, UNITED STATES",LILLI EWING,Inactive
"BELLEVUE MASSAGE SCHOOL, LLC",602 823 297,WA LIMITED LIABILITY COMPANY,"15921 NE 8TH ST., SUITE C-106, BELLEVUE, WA, 98008, UNITED STATES",JAMES SCHMIDT,Administratively Dissolved
"BELLEVUE THERAPEUTIC MASSAGE, LLC",603 201 478,WA LIMITED LIABILITY COMPANY,"14730 NE 8TH ST STE 204, BELLEVUE, WA, 98007, UNITED STATES",WENJUN ZHANG,Administratively Dissolved
"BELLEVUE URBAN MASSAGE THERAPY, LLC",603 123 831,WA LIMITED LIABILITY COMPANY,,PATRICE ELAINEPARSONS,Administratively Dissolved
BELLINGHAM MASSAGE CLINIC PLLC,603 481 705,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"119 N COMMERCIAL ST STE 410, BELLINGHAM, WA, 98225-4437, UNITED STATES",MELISSA D'HAENE,Active
BELLINGHAM MASSAGE WORKS LLC,603 288 650,WA LIMITED LIABILITY COMPANY,"1316 KING ST, SUITE 3, BELLINGHAM, WA, 98229-6263, UNITED STATES",KEVIN HARDMAN,Active
BELLINGHAM MEDICAL MASSAGE INC.,603 071 797,WA PROFIT CORPORATION,"2421 HENRY ST, BELLINGHAM, WA, 98225, UNITED STATES",LAW OFFICE OF GENE R MOSES PS,Administratively Dissolved
BELLINGHAM MOBILE MASSAGE THERAPY LLC,604 048 224,WA LIMITED LIABILITY COMPANY,"2631 KULSHAN ST, BELLINGHAM, WA, 98225, UNITED STATES",JEREMY WILSON,Administratively Dissolved
BELLINGHAM SOMA MASSAGE LLC,604 301 448,WA LIMITED LIABILITY COMPANY,"960 HARRIS AVE STE 203, BELLINGHAM, WA, 98225-7025, UNITED STATES",LISA GROSSMAN,Active
BELLWETHER MEDICAL ACUPUNCTURE & MASSAGE LLC,603 399 780,WA LIMITED LIABILITY COMPANY,"416 S CLARKWOOD DR, BELLINGHAM, WA, 98225-8702, UNITED STATES",GALIE JEAN-LOUIS,Active
"BELLY MAMA MASSAGE, PLLC",604 403 035,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"4009 BRIDGEPORT WAY W STE E-3, UNIVERSITY PL, WA, 98466-4326, UNITED STATES",LISA ZEPEDA,Active
"BENJAMIN HOWARD MASSAGE, LLC",603 101 983,WA LIMITED LIABILITY COMPANY,"1106 N PROSPECT, TACOMA, WA, 98406, UNITED STATES",BENJAMIN HOWARD,Administratively Dissolved
"BESPOKE MASSAGE, LLC",604 031 463,FOREIGN LIMITED LIABILITY COMPANY,"745 ATLANTIC AVE, BOSTON, MA, 02111, UNITED STATES","UNITED STATES CORPORATION AGENTS, INC",Terminated
BEST CARE CHIROPRACTIC AND MASSAGE LLC,603 471 153,WA LIMITED LIABILITY COMPANY,"32020 1ST AVE S #114, FEDERAL WAY, WA, 98003, UNITED STATES",JOUNSOO PARK,Administratively Dissolved
"BETH RUSK MASSAGE, LLC",604 036 115,WA LIMITED LIABILITY COMPANY,"1101 HARRIS AVE #26, BELLINGHAM, WA, 98225, UNITED STATES",BETH RUSK,Active
"BIG MOUNTAIN MASSAGE, INC.",602 271 396,WA PROFIT CORPORATION,,RICHARD WEHRING,Inactive
BIN MASSAGE LLC,604 301 270,WA LIMITED LIABILITY COMPANY,"1419 W MAIN ST, BATTLE GROUND, WA, 98604-9830, UNITED STATES",YIBIN PENG,Active
"BIRD ON A WIRE MASSAGE, INC",603 442 126,WA PROFIT CORPORATION,"1745 ACADEMY RD, BELLINGHAM, WA, 98226, UNITED STATES",CHERYL SOUZA,Administratively Dissolved
BLACK LINE PAINTING LLC,604 240 211,WA LIMITED LIABILITY COMPANY,"1110 6TH ST, BREMERTON, WA, 98337-1445, UNITED STATES",DANIEL BLACK,Active
"BLAKESMASSAGE, LLC",603 367 840,WA LIMITED LIABILITY COMPANY,"11628 NE 65TH ST, KIRKLAND, WA, 98033-8458, UNITED STATES",ELIZABETH SINCLAIR,Active
BLISSFUL HEALING MASSAGE AND AROMATHERAPY L.L.C.,602 758 069,WA LIMITED LIABILITY COMPANY,"518 W WILLIS ST, KENT, WA, 98032, UNITED STATES",MIRANDA MCCASLIN,Inactive
BLOOMING LOTUS MASSAGE THERAPY LLC,604 479 375,WA LIMITED LIABILITY COMPANY,"2020 MARE CT SE, TUMWATER, WA, 98501-6841, UNITED STATES",JENNIFER BUSH,Active
BLOSSOM THAI MASSAGE AND RELAXATION CENTER INC,603 444 836,WA PROFIT CORPORATION,"16240 NE 12TH CT B14, BELLEVUE, WA, 98008, UNITED STATES",JEAN CHOU,Administratively Dissolved
BLUE COLLAR ANIMAL MASSAGE LLC,603 465 235,WA LIMITED LIABILITY COMPANY,"17701 108TH AVE SE #318, RENTON, WA, 98055, UNITED STATES","NORTHWEST REGISTERED AGENT, LLC",Administratively Dissolved
BLUE HERON MASSAGE LLC,602 849 446,WA LIMITED LIABILITY COMPANY,"15906 NE 83RD ST, REDMOND, WA, 98052, UNITED STATES",SARAH FRANKLIN,Inactive
BLUE MOON MASSAGE STUDIO LLC,603 091 987,WA LIMITED LIABILITY COMPANY,"7700 PIONEER WAY STE 101, GIG HARBOR, WA, 98335-1164, UNITED STATES",KRISTEN CADENHEAD,Active
"BLUE MOUNTAIN THERAPEUTIC MASSAGE, INC.",601 907 633,WA PROFIT CORPORATION,,VALERIE KNAPP,Inactive
"BLUE NUMA MASSAGE, INC.",602 938 810,WA PROFIT CORPORATION,"20410 O'CONNOR RD SE, CENTRALIA, WA, 98531, UNITED STATES",JULIA MEAKER,Inactive
"BLUE NUMA MASSAGE, LLC",603 093 076,WA LIMITED LIABILITY COMPANY,"20410 OCONNOR RD SE, CENTRALIA, WA, 98531-9547, UNITED STATES",JULIA MEAKER,Active
BLUE OPAL MASSAGE LLC,603 509 088,WA LIMITED LIABILITY COMPANY,"12811 8TH AVE W #C103, EVERETT, WA, 98204, UNITED STATES",NINCHENG LIN,Administratively Dissolved
BLUE WIND MASSAGE PLLC,603 190 229,WA LIMITED LIABILITY COMPANY,"25825 WASHINGTON BLVD NE, KINGSTON, WA, 98346, UNITED STATES",UNITED STATES CORPORATION AGENTS INC,Active
BLUENVY MASSAGE LLC,604 368 427,WA LIMITED LIABILITY COMPANY,"400 S JEFFERSON ST, STE 446, SPOKANE, WA, 99204-3142, UNITED STATES",DANIELLE MCCAMMON,Active
"BLUME FAMILY CHIROPRACTIC & MASSAGE, INC.",602 808 051,WA PROFIT CORPORATION,"1611 KRESKY AVE STE 108, CENTRALIA, WA, 98531-8982, UNITED STATES",JOSHUA BLUME,Active
"BODTECH MASSAGE, LLC",602 570 524,WA LIMITED LIABILITY COMPANY,"10101 N NEVADA ST, SPOKANE, WA, 99218, UNITED STATES",MICHAEL PETEK,Inactive
"BODY ALIVE MASSAGE THERAPY, L.L.C.",602 455 103,WA LIMITED LIABILITY COMPANY,"711 100TH ST SE, EVERETT, WA, 98208, UNITED STATES",KRISTINA BORG II,Inactive
"BODY BALANCING MASSAGE, LLC",602 231 492,WA LIMITED LIABILITY COMPANY,"120 E 1ST ST, CLE ELUM, WA, 98922-1124, UNITED STATES",DEENA A  BRAMME,Active
"BODY COMPASS MASSAGE, LLC",604 126 056,WA LIMITED LIABILITY COMPANY,"6913 LADD RD, PASCO, WA, 99301, UNITED STATES",TONI MEACHAM,Active
BODY ENMOTION MASSAGE LLC,604 425 429,WA LIMITED LIABILITY COMPANY,"611 4TH AVE STE 100, KIRKLAND, WA, 98033-6019, UNITED STATES",HENG MA,Active
"BODY ESSENCE MASSAGE, INC.",603 062 764,WA PROFIT CORPORATION,"1108 PACIFIC HWY S, LONG BEACH, WA, 98631, UNITED STATES",CHARLOTTE M ROCK,Active
BODY HARMONY MASSAGE LLC,603 204 362,WA LIMITED LIABILITY COMPANY,"3618 S ABBOTT RD, SPOKANE, WA, 99224, UNITED STATES",MARISA WINDERLICH,Administratively Dissolved
"BODY IN BALANCE MASSAGE THERAPY & HYDROTHERAPY, INC.",602 728 725,WA PROFIT CORPORATION,"8837 GUIDE MERIDIAN RD, LYNDEN, WA, 98264-9758, UNITED STATES",KIM KORUGA-VLAS,Active
BODY IN MOTION MASSAGE THERAPY LLC,603 241 815,WA LIMITED LIABILITY COMPANY,"520 NW 432ND ST, WOODLAND, WA, 98674-2329, UNITED STATES",BODY IN MOTION MASSAGE THERAPY LLC,Active
BODY KNEADS MASSAGE & SPA LLC,604 401 779,WA LIMITED LIABILITY COMPANY,"210 W EVERGREEN BLVD STE 500, VANCOUVER, WA, 98660-3453, UNITED STATES",ALETTE REED,Active
"BODY KNEADS MASSAGE, INC",602 617 738,WA PROFIT CORPORATION,"1712 1ST ST, CHENEY, WA, 99004, UNITED STATES",DANNEE RODRIGUEZ,Administratively Dissolved
"BODY LEGENDS CLINIC OF MASSAGE, PLLC",602 707 481,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"215 W HOLLY # G-1, BELLINGHAM, WA, 98225, UNITED STATES",EVAN J MEYERS,Administratively Dissolved
BODY LOGICS THERAPEUTIC MASSAGE L.L.C.,602 970 625,WA LIMITED LIABILITY COMPANY,"110 SW 306TH ST, FEDERAL WAY, WA, 98023, UNITED STATES",DAVID STUDER,Administratively Dissolved
BODY N' SOUL MASSAGE THERAPY LLC,603 331 665,WA LIMITED LIABILITY COMPANY,"1901 W LINCOLN AVE STE B, YAKIMA, WA, 98902-2489, UNITED STATES",BODY N SOUL MASSAGE THERAPY LLC,Active
BODY SOLUTIONS THERAPEUTIC MASSAGE PLLC,603 494 820,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"3526 20TH AVE SE, PUYALLUP, WA, 98372-4227, UNITED STATES",JULIE ANN CHISHOLM,Active
BODY WELLNESS MASSAGE LLC,604 289 589,WA LIMITED LIABILITY COMPANY,"26024 162ND AVE SE, COVINGTON, WA, 98042-8275, UNITED STATES",LILIYA LYEBYEDYEV,Active
"BODY WISDOM MASSAGE, INC.",602 976 328,WA PROFIT CORPORATION,"4580 KLAHANIE DR SE #422, ISSAQUAH, WA, 98029, UNITED STATES",MARY JOHNSON,Inactive
"BODY, MIND & SPIRIT MASSAGE THERAPY, INC",604 108 777,WA PROFIT CORPORATION,"15407 NE 44TH ST, VANCOUVER, WA, 98682, UNITED STATES",STACEY GRIFFITH,Administratively Dissolved
"BODY-TEK MASSAGE, INC.",601 013 465,WA PROFIT CORPORATION,,TRACY GRAY,Inactive
"BODYGOOD MASSAGE, INC.",603 481 216,WA PROFIT CORPORATION,"4900 RAINIER AVE S, SEATTLE, WA, 98118-1744, UNITED STATES",HECKER WAKEFIELD & FEILBERG PS,Active
"BODYMECHANICS MASSAGE SERVICES, INCORPORATED",601 451 482,WA PROFIT CORPORATION,"921 LAKERIDGE WAY SW, OLYMPIA, WA, 98502, UNITED STATES",ROBERT BURTON HAASE,Inactive
"BODYWELL MASSAGE, LLC",602 556 037,WA LIMITED LIABILITY COMPANY,"28019 NE 62ND ST, CAMAS, WA, 98607, UNITED STATES",KATHLEEN MILLER,Active
BODYWISE MASSAGE INC,603 198 330,WA PROFIT CORPORATION,"2811 BRIDGEPORT WAY W STE 17, UNIVERSITY PL, WA, 98466-4602, UNITED STATES",CINDY CARMICHAEL TAYLOR,Active
BODYWORK & MASSAGE CENTER PLLC,602 635 298,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"1210 SLEATER KINNEY RD SE, LACEY, WA, 98503-2316, UNITED STATES",JOANNE ARCHER,Active
"BODYWORKS MASSAGE, LLC",602 998 573,WA LIMITED LIABILITY COMPANY,"12729 NORTHUP WAY SUITE 3, BELLEVUE, WA, 98005, UNITED STATES",KIRA SEIFFERT,Administratively Dissolved
BONE DEEP CHAIR MASSAGE LLC,603 211 134,WA LIMITED LIABILITY COMPANY,"8433 12TH AVE SW, SEATTLE, WA, 98106, UNITED STATES",AMY JUDGE,Administratively Dissolved
"BONNE VIE MASSAGE, PLLC",604 424 053,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"10435 20TH AVE S, SEATTLE, WA, 98168-1643, UNITED STATES",JARED HOLLINGSWORTH,Active
BONNEY LAKE CLINICAL MASSAGE LLC,602 968 948,WA LIMITED LIABILITY COMPANY,"21157 STATE HWY 410, BONNEY LAKE, WA, 98391, UNITED STATES",KRISTEN SISCO,Inactive
